净值日期	单位净值	累计净值	日增长率	申购状态	赎回状态
2017-08-10	1.1420	3.4730	0.00%	开放申购	开放赎回	
2017-08-09	1.1420	3.4730	0.53%	开放申购	开放赎回	
2017-08-08	1.1360	3.4670	0.26%	开放申购	开放赎回	
2017-08-07	1.1330	3.4640	1.43%	开放申购	开放赎回	
2017-08-04	1.1170	3.4480	-0.62%	开放申购	开放赎回	
2017-08-03	1.1240	3.4550	-0.88%	开放申购	开放赎回	
2017-08-02	1.1340	3.4650	-0.79%	开放申购	开放赎回	
2017-08-01	1.1430	3.4740	0.62%	开放申购	开放赎回	
2017-07-31	1.1360	3.4670	0.44%	开放申购	开放赎回	
2017-07-28	1.1310	3.4620	1.16%	开放申购	开放赎回	
2017-07-27	1.1180	3.4490	0.18%	开放申购	开放赎回	
2017-07-26	1.1160	3.4470	-0.53%	开放申购	开放赎回	
2017-07-25	1.1220	3.4530	-0.18%	开放申购	开放赎回	
2017-07-24	1.1240	3.4550	0.54%	开放申购	开放赎回	
2017-07-21	1.1180	3.4490	-0.18%	开放申购	开放赎回	
2017-07-20	1.1200	3.4510	0.63%	开放申购	开放赎回	
2017-07-19	1.1130	3.4440	1.18%	开放申购	开放赎回	
2017-07-18	1.1000	3.4310	0.09%	开放申购	开放赎回	
2017-07-17	1.0990	3.4300	-2.22%	开放申购	开放赎回	
2017-07-14	1.1240	3.4550	-0.53%	开放申购	开放赎回
2017-07-13	1.1300	3.4610	0.36%	开放申购	开放赎回	
2017-07-12	1.1260	3.4570	-0.53%	开放申购	开放赎回	
2017-07-11	1.1320	3.4630	0.00%	开放申购	开放赎回	
2017-07-10	1.1320	3.4630	-0.96%	开放申购	开放赎回	
2017-07-07	1.1430	3.4740	-0.44%	开放申购	开放赎回	
2017-07-06	1.1480	3.4790	-0.26%	开放申购	开放赎回	
2017-07-05	1.1510	3.4820	0.96%	开放申购	开放赎回	
2017-07-04	1.1400	3.4710	-0.61%	开放申购	开放赎回	
2017-07-03	1.1470	3.4780	-0.26%	开放申购	开放赎回	
2017-06-30	1.1500	3.4810	0.26%	开放申购	开放赎回	
2017-06-29	1.1470	3.4780	0.53%	开放申购	开放赎回	
2017-06-28	1.1410	3.4720	-0.78%	开放申购	开放赎回	
2017-06-27	1.1500	3.4810	0.17%	开放申购	开放赎回	
2017-06-26	1.1480	3.4790	1.32%	开放申购	开放赎回	
2017-06-23	1.1330	3.4640	0.53%	开放申购	开放赎回	
2017-06-22	1.1270	3.4580	-0.70%	开放申购	开放赎回	
2017-06-21	1.1350	3.4660	0.80%	开放申购	开放赎回	
2017-06-20	1.1260	3.4570	0.09%	开放申购	开放赎回	
2017-06-19	1.1250	3.4560	0.81%	开放申购	开放赎回	
2017-06-16	1.1160	3.4470	-0.09%	开放申购	开放赎回
2017-06-15	1.1170	3.4480	0.09%	开放申购	开放赎回	
2017-06-14	1.1160	3.4470	-0.80%	开放申购	开放赎回	
2017-06-13	1.1250	3.4560	0.45%	开放申购	开放赎回	
2017-06-12	1.1200	3.4510	0.09%	开放申购	开放赎回	
2017-06-09	1.1190	3.4500	0.18%	开放申购	开放赎回	
2017-06-08	1.1170	3.4480	0.63%	开放申购	开放赎回	
2017-06-07	1.1100	3.4410	1.83%	开放申购	开放赎回	
2017-06-06	1.0900	3.4210	0.65%	开放申购	开放赎回	
2017-06-05	1.0830	3.4140	0.56%	开放申购	开放赎回	
2017-06-02	1.0770	3.4080	0.09%	开放申购	开放赎回	
2017-06-01	1.0760	3.4070	-0.83%	开放申购	开放赎回	
2017-05-31	1.0850	3.4160	0.09%	开放申购	开放赎回	
2017-05-26	1.0840	3.4150	0.00%	开放申购	开放赎回	
2017-05-25	1.0840	3.4150	-0.55%	开放申购	开放赎回	
2017-05-24	1.0900	3.4210	0.00%	开放申购	开放赎回	
2017-05-23	1.0900	3.4210	-0.37%	开放申购	开放赎回	
2017-05-22	1.0940	3.4250	-0.36%	开放申购	开放赎回	
2017-05-19	1.0980	3.4290	-0.18%	开放申购	开放赎回	
2017-05-18	1.1000	3.4310	-0.81%	开放申购	开放赎回	
2017-05-17	1.1090	3.4400	-0.36%	开放申购	开放赎回
2017-05-16	1.1130	3.4440	1.92%	开放申购	开放赎回	
2017-05-15	1.0920	3.4230	0.55%	开放申购	开放赎回	
2017-05-12	1.0860	3.4170	0.00%	开放申购	开放赎回	
2017-05-11	1.0860	3.4170	0.56%	开放申购	开放赎回	
2017-05-10	1.0800	3.4110	-0.55%	开放申购	开放赎回	
2017-05-09	1.0860	3.4170	0.46%	开放申购	开放赎回	
2017-05-08	1.0810	3.4120	-1.73%	开放申购	开放赎回	
2017-05-05	1.1000	3.4310	-0.54%	开放申购	开放赎回	
2017-05-04	1.1060	3.4370	-0.09%	开放申购	开放赎回	
2017-05-03	1.1070	3.4380	0.00%	开放申购	开放赎回	
2017-05-02	1.1070	3.4380	0.27%	开放申购	开放赎回	
2017-04-28	1.1040	3.4350	-0.27%	开放申购	开放赎回	
2017-04-27	1.1070	3.4380	0.82%	开放申购	开放赎回	
2017-04-26	1.0980	3.4290	-0.18%	开放申购	开放赎回	
2017-04-25	1.1000	3.4310	0.64%	开放申购	开放赎回	
2017-04-24	1.0930	3.4240	-1.80%	开放申购	开放赎回	
2017-04-21	1.1130	3.4440	-0.89%	开放申购	开放赎回	
2017-04-20	1.1230	3.4540	0.99%	开放申购	开放赎回	
2017-04-19	1.1120	3.4430	0.27%	开放申购	开放赎回	
2017-04-18	1.1090	3.4400	0.45%	开放申购	开放赎回
2017-04-17	1.1040	3.4350	-0.27%	开放申购	开放赎回	
2017-04-14	1.1070	3.4380	-0.90%	开放申购	开放赎回	
2017-04-13	1.1170	3.4480	0.72%	开放申购	开放赎回	
2017-04-12	1.1090	3.4400	-0.54%	开放申购	开放赎回	
2017-04-11	1.1150	3.4460	-0.18%	开放申购	开放赎回	
2017-04-10	1.1170	3.4480	-0.62%	开放申购	开放赎回	
2017-04-07	1.1240	3.4550	0.18%	开放申购	开放赎回	
2017-04-06	1.1220	3.4530	0.36%	开放申购	开放赎回	
2017-04-05	1.1180	3.4490	0.99%	开放申购	开放赎回	
2017-03-31	1.1070	3.4380	0.55%	开放申购	开放赎回	
2017-03-30	1.1010	3.4320	-0.54%	开放申购	开放赎回	
2017-03-29	1.1070	3.4380	0.00%	开放申购	开放赎回	
2017-03-28	1.1070	3.4380	-0.27%	开放申购	开放赎回	
2017-03-27	1.1100	3.4410	-0.98%	开放申购	开放赎回	
2017-03-24	1.1210	3.4520	0.18%	开放申购	开放赎回	
2017-03-23	1.1190	3.4500	0.09%	开放申购	开放赎回	
2017-03-22	1.1180	3.4490	0.18%	开放申购	开放赎回	
2017-03-21	1.1160	3.4470	1.36%	开放申购	开放赎回	
2017-03-20	1.1010	3.4320	0.27%	开放申购	开放赎回	
2017-03-17	1.0980	3.4290	-0.81%	开放申购	开放赎回
2017-03-16	1.1070	3.4380	0.27%	开放申购	开放赎回	
2017-03-15	1.1040	3.4350	0.36%	开放申购	开放赎回	
2017-03-14	1.1000	3.4310	0.46%	开放申购	开放赎回	
2017-03-13	1.0950	3.4260	0.83%	开放申购	开放赎回	
2017-03-10	1.0860	3.4170	0.28%	开放申购	开放赎回	
2017-03-09	1.0830	3.4140	-0.73%	开放申购	开放赎回	
2017-03-08	1.0910	3.4220	-0.18%	开放申购	开放赎回	
2017-03-07	1.0930	3.4240	0.28%	开放申购	开放赎回	
2017-03-06	1.0900	3.4210	0.46%	开放申购	开放赎回	
2017-03-03	1.0850	3.4160	0.09%	开放申购	开放赎回	
2017-03-02	1.0840	3.4150	0.00%	开放申购	开放赎回	
2017-03-01	1.0840	3.4150	0.56%	开放申购	开放赎回	
2017-02-28	1.0780	3.4090	0.37%	开放申购	开放赎回	
2017-02-27	1.0740	3.4050	-0.56%	开放申购	开放赎回	
2017-02-24	1.0800	3.4110	-0.09%	开放申购	开放赎回	
2017-02-23	1.0810	3.4120	-0.55%	开放申购	开放赎回	
2017-02-22	1.0870	3.4180	0.74%	开放申购	开放赎回	
2017-02-21	1.0790	3.4100	0.37%	开放申购	开放赎回	
2017-02-20	1.0750	3.4060	1.61%	开放申购	开放赎回	
2017-02-17	1.0580	3.3890	-0.47%	开放申购	开放赎回